disasterNumber,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate,fyDeclared,incidentType,declarationTitle,fipsStateCode,fipsCountyCode,date,county_FIP,topic,stance,gender,aggressiveness,temperature_avg,sentiment,id
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-09-05,063,Politics,believer,female,not aggressive,1.8053769600000003,0.345122908004125,"639987735009341440,640154145220112384,640211928942538752,640240997469954048,640303038150897664"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-09-06,063,Importance of Human Intervantion,believer,male,aggressive,-7.027039500000001,0.1006472626890455,"640350004394127360,640581012250980352"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-17,063,Weather Extremes,denier,female,not aggressive,-0.41168207,-0.6088539555311203,898211498216095744
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-22,063,Ideological Positions on Global Warming,believer,male,not aggressive,2.8908672,-0.6627765654802322,899844056385073152
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-23,063,Donald Trump versus Science,believer,male,not aggressive,3.0727124,0.6840234177090905,"900200523273515008,900387903293071360"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-25,063,Weather Extremes,neutral,male,aggressive,-0.37530228,-0.3979970812797546,901223043187576832
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-27,063,Weather Extremes,denier,male,not aggressive,-0.87155676,0.0192204281330108,901906764072976384
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-28,063,Seriousness of Gas Emissions,denier,male,aggressive,-2.4058936,0.5818524062712987,902150821588205568
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-08-29,063,Impact of Resource Overconsumption,neutral,male,not aggressive,-2.4228654,-0.21014014297723774,"902405985678921728,902599613252816896"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-09-09,063,Global stance,believer,male,not aggressive,1.311660711111111,-0.1915991360881201,"906377876907241472,906385085271728128,906490133339308032,906520540088856576,906529140492431360,906530767437623296,906535527431643136,906567752667750400,906591304313794560"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-09-10,063,Importance of Human Intervantion,believer,male,aggressive,-2.130239264285714,-0.20820274736190475,"906723533690109952,906738084271681536,906835143050059776,906874895111467008,906889572818325504,906893175196868608,906903859318214656,906934051243687936,906939432510611456,906942708526272512,906950734335295488,906980020412874752,906984880646615040,906988060738547712"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-09-11,063,Global stance,believer,male,not aggressive,-0.80561065,-0.115471884593202,"907050682397614080,907060084571873280,907198160560377856,907208830051770368,907222737139224576,907232677601964032,907233113431998464,907237958822088704,907254719831298048,907312173654966272,907312721745629184,907319828041617408,907355428971040768,907355711478358016,907370672908795904,907390607449919488"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-09-12,063,Global stance,believer,male,aggressive,2.9093635,-0.3525389160121811,"907407081312940032,907419958073683968,907429100637310976,907449037158211584,907450910682390528,907484926651576320,907602845364613120,907617683021221888,907623833321971712,907681293680308224"
